BeginTime,SrcIP,DstIP,SrcPort,DstPort
2016-09-13T09:21:20.426Z,192.168.30.129,192.168.30.1,50898,1048
2016-09-13T09:21:20.431Z,192.168.30.129,192.168.30.1,50898,5414
2016-09-13T09:21:20.431Z,192.168.30.129,192.168.30.1,50898,2126
2016-09-13T09:21:20.431Z,192.168.30.129,192.168.30.1,50898,1198
2016-09-13T09:21:20.437Z,192.168.30.129,192.168.30.1,50898,161
2016-09-13T09:21:20.445Z,192.168.30.129,192.168.30.1,50898,30000
2016-09-13T09:21:20.445Z,192.168.30.129,192.168.30.1,50898,8009
2016-09-13T09:21:20.445Z,192.168.30.129,192.168.30.1,50898,1114
2016-09-13T09:21:20.507Z,192.168.30.129,192.168.30.1,50899,55555
2016-09-13T09:21:20.515Z,192.168.30.129,192.168.30.1,50899,6129
2016-09-13T09:21:20.524Z,192.168.30.129,192.168.30.1,50899,1048
2016-09-13T09:21:20.527Z,192.168.30.129,192.168.30.1,50899,5414
2016-09-13T09:21:20.530Z,192.168.30.129,192.168.30.1,50899,1198
2016-09-13T09:21:20.530Z,192.168.30.129,192.168.30.1,50899,2126
2016-09-13T09:21:20.534Z,192.168.30.129,192.168.30.1,50899,161
2016-09-13T09:21:20.538Z,192.168.30.129,192.168.30.1,50899,30000
2016-09-13T09:21:20.542Z,192.168.30.129,192.168.30.1,50899,1114
2016-09-13T09:21:20.542Z,192.168.30.129,192.168.30.1,50899,8009
2016-09-13T09:21:20.608Z,192.168.30.129,192.168.30.1,50898,1072
2016-09-13T09:21:20.616Z,192.168.30.129,192.168.30.1,50898,720
2016-09-13T09:21:20.625Z,192.168.30.129,192.168.30.1,50898,912
2016-09-13T09:21:20.627Z,192.168.30.129,192.168.30.1,50898,20221
2016-09-13T09:21:20.631Z,192.168.30.129,192.168.30.1,50898,1054
2016-09-13T09:21:20.631Z,192.168.30.129,192.168.30.1,50898,1051
2016-09-13T09:21:20.634Z,192.168.30.129,192.168.30.1,50898,1839
2016-09-13T09:21:20.639Z,192.168.30.129,192.168.30.1,50898,26214
2016-09-13T09:21:20.642Z,192.168.30.129,192.168.30.1,50898,4848
2016-09-13T09:21:20.644Z,192.168.30.129,192.168.30.1,50898,4321
2016-09-13T09:21:20.709Z,192.168.30.129,192.168.30.1,50899,1072
2016-09-13T09:21:20.717Z,192.168.30.129,192.168.30.1,50899,720
2016-09-13T09:21:20.725Z,192.168.30.129,192.168.30.1,50899,912
2016-09-13T09:21:20.728Z,192.168.30.129,192.168.30.1,50899,20221
